Time (hours),Submarine Position X (nm),Submarine Position Y (nm),Noisy Distance (nm)
0.00	8.71	8.41	8.60	0.52	10.99
0.17	6.61	4.09	8.83	0.83	10.81
0.33	12.39	5.99	12.25	1.15	10.63
0.50	5.34	12.42	4.38	1.47	10.45
0.67	10.58	2.69	11.62	1.78	10.27
0.83	10.27	3.69	10.46	2.10	10.09
1.00	15.71	17.08	15.09	2.41	9.91
1.17	9.88	16.93	10.15	2.73	9.73
1.33	1.59	10.10	1.58	3.04	9.55
1.50	1.31	8.56	2.20	3.36	9.37
1.67	1.93	2.54	6.90	3.67	9.19
1.83	11.93	4.52	9.11	3.99	9.01
2.00	2.14	4.41	4.94	4.31	8.83
2.17	7.00	9.36	2.53	4.62	8.65
2.33	4.03	12.81	4.50	4.94	8.47
2.50	9.66	10.10	4.74	5.25	8.29
2.67	7.74	15.87	8.05	5.57	8.11
2.83	11.60	3.25	7.37	5.88	7.93
3.00	14.02	19.29	13.89	6.20	7.75
3.17	10.00	17.79	10.79	6.51	7.57
3.33	6.83	11.34	3.98	6.83	7.39
3.50	8.55	8.73	2.10	7.14	7.21
3.67	15.53	10.71	8.86	7.46	7.03
3.83	19.07	10.88	12.03	7.78	6.85
4.00	1.64	7.33	6.57	8.09	6.67
4.17	17.02	8.13	8.81	8.41	6.49
4.33	0.54	4.94	8.27	8.72	6.31
4.50	1.34	19.88	15.77	9.04	6.13
4.67	19.41	16.01	14.23	9.35	5.95
4.83	12.04	15.30	9.84	9.67	5.77
5.00	3.38	5.86	6.65	9.98	5.59
5.17	10.48	7.13	1.76	10.30	5.41
5.33	0.91	19.66	17.40	10.62	5.23
5.50	8.83	10.08	5.50	10.93	5.05
5.67	6.47	5.19	4.77	11.25	4.87
5.83	7.74	16.64	12.57	11.56	4.69
6.00	14.73	7.58	4.18	11.88	4.51
6.17	0.26	15.95	16.63	12.19	4.33
6.33	5.39	11.65	10.26	12.51	4.15
6.50	0.51	13.24	15.33	12.82	3.97
6.67	7.75	9.94	8.19	13.14	3.79
6.83	8.30	7.02	6.23	13.46	3.61
7.00	11.02	19.46	16.20	13.77	3.43
7.17	2.26	6.27	12.16	14.09	3.25
7.33	0.84	14.77	17.95	14.40	3.07
7.50	13.15	4.29	2.12	14.72	2.89
7.67	8.34	12.88	12.16	15.03	2.71
7.83	13.23	3.41	2.33	15.35	2.53
8.00	17.63	15.56	13.39	15.66	2.35
8.17	2.68	17.38	20.23	15.98	2.17
